L,channel,gL,gamma,m2_mean,m2_sem,delta_coh_single_layer,delta_coh_layered,delta_sec_layered,delta_cov,active_ell,active_j,n_init,n_input,n,sector_r,teacher_seed,m2_noiseless_mean,m2_baseline,log_decay,lambda_w,gamma_L,D_M,lambda_coh
5,amp_damp,0.3,0.06,0.0003897467977751,3.805887134896048e-05,0.0600000000000001,0.2660959776000003,0.2660959776000003,1.857477789005573e-16,3,1,50,5,8,1,42,0.000723609099663,0.000723609099663,0.6187540371808603,0.99999999999989,0.3,0.6187540371808603,0.99999999999989
5,depol,0.01,0.002,0.0006368958413882,6.219367618416097e-05,0.013251858218332,0.0643261764210907,0.0515388354953296,7.23666435263745e-17,3,1,50,5,8,1,42,0.000723609099663,0.000723609099663,0.1276452010871831,6.647586339771916,0.01,0.1276452010871831,6.647586339771916
5,depol,0.03,0.006,0.0004936449786155,4.820569885295295e-05,0.0392721318860914,0.1799464210518135,0.1446228658303333,1.0978181593353456e-16,3,1,50,5,8,1,42,0.000723609099663,0.000723609099663,0.3824347369322631,6.647586339771916,0.03,0.3824347369322631,6.647586339771916
5,depol,0.05,0.01,0.0003828753320846,3.738890331995776e-05,0.0646596858515536,0.2802302569222979,0.2259438207171306,1.3122005957695202e-16,3,1,50,5,8,1,42,0.000723609099663,0.000723609099663,0.6365418964879284,6.647586339771916,0.05,0.6365418964879284,6.647586339771916
5,depol,0.1,0.02,0.0002034741470055,1.9869190867768435e-05,0.1254516275478177,0.4771204797802928,0.3879591525398193,1.592830267402071e-16,3,1,50,5,8,1,42,0.000723609099663,0.000723609099663,1.2687123739150372,6.647586339771916,0.1,1.2687123739150372,6.647586339771916
5,depol,0.2,0.04,5.8284318507665134e-05,5.689985842029874e-06,0.2362673781008343,0.7160452541245544,0.5931309464368453,1.8202586947350632e-16,3,1,50,5,8,1,42,0.000723609099663,0.000723609099663,2.518918251095488,6.647586339771916,0.2,2.518918251095488,6.647586339771916
5,depol,0.3,0.06,1.7038995652378366e-05,1.6625553571909358e-06,0.3340171553538054,0.8397534718856786,0.7094883938780601,1.864426920631848e-16,3,1,50,5,8,1,42,0.000723609099663,0.000723609099663,3.7487467499092055,6.647586339771916,0.3,3.7487467499092055,6.647586339771916
5,dephase,0.01,0.002,0.0006792214361548,6.632841465532413e-05,0.0079839999999995,0.0392876264971867,0.0,8.206053959778926e-17,3,1,50,5,8,1,42,0.000723609099663,0.000723609099663,0.0633041335985683,3.995999999999889,0.01,0.0633041335985683,3.995999999999889
5,dephase,0.03,0.006,0.0005980086478525,5.8401656895164754e-05,0.0238560000000009,0.1137230675228918,4.440892098500626e-15,1.28074822988544e-16,3,1,50,5,8,1,42,0.000723609099663,0.000723609099663,0.190646113847312,3.995999999999889,0.03,0.190646113847312,3.995999999999889
5,dephase,0.05,0.01,0.0005259852055042,5.1371263100327474e-05,0.0395999999999999,0.1829271931124528,0.0,1.5108934048201682e-16,3,1,50,5,8,1,42,0.000723609099663,0.000723609099663,0.3189782430609024,3.995999999999889,0.05,0.3189782430609024,3.995999999999889
