seed,n,L,sector_r,channel,gL,gamma,m2_mean,m2_sem,delta_coh_single_layer,delta_coh_layered,delta_sec_layered,delta_cov,active_ell,active_j,n_init,n_input,gamma_L
4,8,4,1,dephase,0.01,0.0025,0.003332157541489,0.0002798398767515,0.009975,0.0393069564245633,0.0,9.514050889814285e-17,1,0,40,4,0.01
4,8,4,1,dephase,0.03,0.0075,0.0030609228900359,0.0002572512322487,0.0297749999999995,0.1138854984574246,0.0,1.3729361639923947e-16,1,0,40,4,0.03
4,8,4,1,dephase,0.05,0.0125,0.0028095536301258,0.0002362985053151,0.0493749999999995,0.1833481963377367,0.0,1.6422654164002352e-16,1,0,40,4,0.05
4,8,4,1,dephase,0.1,0.025,0.0022597225508969,0.0001903988596557,0.0975000000000003,0.3365795687109388,0.0,1.830260761012727e-16,1,0,40,4,0.1
4,8,4,1,dephase,0.2,0.05,0.0014382902797007,0.0001216125872527,0.1900000000000008,0.5695327900000018,2.220446049250313e-15,2.0038516605125406e-16,1,0,40,4,0.2
4,8,4,1,dephase,0.3,0.075,0.0008939540007134,7.584064683457622e-05,0.2774999999999996,0.727509474960937,0.0,1.7284433979273244e-16,1,0,40,4,0.3
4,8,4,1,x_err,0.01,0.0025,0.0029623629769714,0.0002486919050899,0.0198044029525333,0.0763741809060414,0.076048266372962,0.0098010522912051,1,0,40,4,0.01
4,8,4,1,x_err,0.03,0.0075,0.0021547232245078,0.0001808924935732,0.0582609066462815,0.2094140593478888,0.206889265258459,0.0283910851823229,1,0,40,4,0.03
4,8,4,1,x_err,0.05,0.0125,0.0015700216925203,0.0001318093489679,0.0952273282896153,0.3201724710513025,0.3141353262596186,0.0456858019628886,1,0,40,4,0.05
4,8,4,1,x_err,0.1,0.025,0.0007173756853684,6.023412278655072e-05,0.1814742322387295,0.5240121610742634,0.5074050681952675,0.083661701701963,1,0,40,4,0.1
4,8,4,1,x_err,0.2,0.05,0.0001557517987718,1.3084651783524524e-05,0.3301466302904337,0.7436822871472724,0.7122515464576937,0.1400650505672629,1,0,40,4,0.2
4,8,4,1,x_err,0.3,0.075,3.5888328721207257e-05,3.017824060810899e-06,0.451638925779139,0.8431497217927622,0.8098551319514037,0.1755469833701101,1,0,40,4,0.3
5,8,4,1,amp_damp,0.01,0.0025,0.0008204182570966,7.623923572619068e-05,0.0025,0.0099625624609376,0.0099625624609374,5.73748456934819e-17,2,7,40,4,0.01
5,8,4,1,amp_damp,0.03,0.0075,0.0007880907043098,7.323512423056002e-05,0.0075,0.0296641843359373,0.0296641843359373,9.025654603166192e-17,2,7,40,4,0.03
5,8,4,1,amp_damp,0.05,0.0125,0.0007568832875464,7.033510392695577e-05,0.0125,0.0490702880859372,0.0490702880859372,1.0809600230852083e-16,2,7,40,4,0.05
5,8,4,1,amp_damp,0.1,0.025,0.0006835479844462,6.352025380417448e-05,0.025,0.0963121093750003,0.0963121093750001,1.364210647772177e-16,2,7,40,4,0.1
5,8,4,1,amp_damp,0.2,0.05,0.00055529136973,5.160171567046955e-05,0.0500000000000001,0.1854937500000005,0.1854937500000004,1.7307285496990296e-16,2,7,40,4,0.2
5,8,4,1,amp_damp,0.3,0.075,0.0004486068940248,4.168781770287112e-05,0.075,0.2679058593749999,0.2679058593749996,2.018966051629226e-16,2,7,40,4,0.3
5,8,4,1,depol,0.01,0.0025,0.0007420339578141,6.895425459305216e-05,0.0165394796642953,0.064346885146609,0.05155545379683,7.981531492645883e-17,2,7,40,4,0.01
5,8,4,1,depol,0.03,0.0075,0.0005834167150436,5.421309619383552e-05,0.0488658534211349,0.1801084042384908,0.1447537389807186,1.181974292235372e-16,2,7,40,4,0.03
5,8,4,1,depol,0.05,0.0125,0.0004589554541175,4.264654272675686e-05,0.0802118366585569,0.2806217384164855,0.2262625547445147,1.400773959050423e-16,2,7,40,4,0.05
5,8,4,1,depol,0.1,0.025,0.0002525482868649,2.3465358383272413e-05,0.1544636469934086,0.4782316666947949,0.388885717738509,1.6525263486601687e-16,2,7,40,4,0.1
5,8,4,1,depol,0.2,0.05,7.738439783619281e-05,7.189089023426512e-06,0.2866834516201808,0.7183354199465444,0.5951860169600887,1.836671304805951e-16,2,7,40,4,0.2
5,8,4,1,depol,0.3,0.075,2.4138547037411285e-05,2.24217072001207e-06,0.3996137237499999,0.8424988207388627,0.7122515464576918,1.8343657627592614e-16,2,7,40,4,0.3
5,8,4,1,dephase,0.01,0.0025,0.0008028887165301,7.460724512360232e-05,0.009975,0.0393069564245633,0.0,9.514050889814285e-17,2,7,40,4,0.01
5,8,4,1,dephase,0.03,0.0075,0.000738325031371,6.860237742533003e-05,0.0297749999999995,0.1138854984574246,0.0,1.3729361639923947e-16,2,7,40,4,0.03
5,8,4,1,dephase,0.05,0.0125,0.0006784139588939,6.303092311691152e-05,0.0493749999999995,0.1833481963377367,0.0,1.6422654164002352e-16,2,7,40,4,0.05
5,8,4,1,dephase,0.1,0.025,0.0005470842227502,5.082030986840136e-05,0.0975000000000003,0.3365795687109388,0.0,1.830260761012727e-16,2,7,40,4,0.1
5,8,4,1,dephase,0.2,0.05,0.0003499987709338,3.250290195883224e-05,0.1900000000000008,0.5695327900000018,2.220446049250313e-15,2.0038516605125406e-16,2,7,40,4,0.2
5,8,4,1,dephase,0.3,0.075,0.0002186091718963,2.0296720160898404e-05,0.2774999999999996,0.727509474960937,0.0,1.7284433979273244e-16,2,7,40,4,0.3
5,8,4,1,x_err,0.01,0.0025,0.0007134047230511,6.62947139920665e-05,0.0198044029525333,0.0763741809060414,0.076048266372962,0.0098010522912051,2,7,40,4,0.01
5,8,4,1,x_err,0.03,0.0075,0.0005189233078105,4.822183134434586e-05,0.0582609066462815,0.2094140593478888,0.206889265258459,0.0283910851823229,2,7,40,4,0.03
5,8,4,1,x_err,0.05,0.0125,0.0003781339684096,3.51383487078895e-05,0.0952273282896153,0.3201724710513025,0.3141353262596186,0.0456858019628886,2,7,40,4,0.05
5,8,4,1,x_err,0.1,0.025,0.0001728316568944,1.605962967985251e-05,0.1814742322387295,0.5240121610742634,0.5074050681952675,0.083661701701963,2,7,40,4,0.1
5,8,4,1,x_err,0.2,0.05,3.757405647526218e-05,3.49061138964024e-06,0.3301466302904337,0.7436822871472724,0.7122515464576937,0.1400650505672629,2,7,40,4,0.2
5,8,4,1,x_err,0.3,0.075,8.678441026337922e-06,8.058975401866603e-07,0.451638925779139,0.8431497217927622,0.8098551319514037,0.1755469833701101,2,7,40,4,0.3
